,Unnamed: 0,datetime,open,high,low,close,volume,hold,(t+1)-(t),label
9,9.0,2020-03-30 10:01:00,4443.0,4443.0,4443.0,4443.0,1.0,10.0,31.0,0
10,10.0,2020-03-30 10:05:00,4442.0,4442.0,4442.0,4442.0,1.0,10.0,-45.0,0
24,24.0,2020-03-31 13:34:00,4452.0,4452.0,4452.0,4452.0,1.0,7.0,24.0,0
31,31.0,2020-03-31 14:46:00,4497.0,4497.0,4459.0,4459.0,1.0,5.0,25.0,0
78,6.0,2020-05-22 14:34:00,4640.0,4640.0,4640.0,4640.0,4.0,5.0,-84.0,0
124,52.0,2020-06-30 10:53:00,4960.0,4960.0,4960.0,4960.0,2.0,2.0,-140.0,0
133,4.0,2020-04-07 09:05:00,4154.0,4155.0,4074.0,4074.0,1.0,1.0,251.0,0
178,49.0,2020-05-12 10:35:00,4359.0,4359.0,4359.0,4359.0,1.0,4.0,161.0,0
206,77.0,2020-05-20 09:14:00,4422.0,4422.0,4422.0,4422.0,1.0,4.0,78.0,0
239,110.0,2020-06-15 10:01:00,4720.0,4720.0,4720.0,4720.0,1.0,11.0,-20.0,0
251,122.0,2020-06-15 13:31:00,4743.0,4743.0,4743.0,4743.0,1.0,11.0,-40.0,0
252,123.0,2020-06-15 13:36:00,4743.0,4780.0,4743.0,4780.0,1.0,12.0,-21.0,0
273,144.0,2020-06-19 09:57:00,4733.0,4733.0,4733.0,4733.0,2.0,5.0,-5.0,0
316,187.0,2020-06-29 10:38:00,4881.0,4887.0,4827.0,4887.0,8.0,16.0,-16.0,0
328,199.0,2020-06-30 09:29:00,4809.0,4809.0,4809.0,4809.0,1.0,13.0,80.0,0
342,213.0,2020-07-01 09:06:00,4890.0,4890.0,4890.0,4890.0,1.0,7.0,28.0,0
375,246.0,2020-07-15 09:03:00,5150.0,5150.0,5150.0,5150.0,1.0,6.0,-26.0,0
376,247.0,2020-07-15 09:06:00,5150.0,5150.0,5020.0,5140.0,7.0,7.0,198.0,0
