,Unnamed: 0,datetime,open,high,low,close,volume,hold,(t+1)-(t),label
5,1.0,2020-03-25 09:05:00,3872.0,3875.0,3836.0,3875.0,2.0,41.0,-19.0,0
9,5.0,2020-03-25 09:54:00,3857.0,3892.0,3857.0,3890.0,2.0,43.0,-14.0,0
40,36.0,2020-03-27 09:03:00,4010.0,4017.0,4010.0,4017.0,1.0,68.0,-77.0,0
41,37.0,2020-03-27 09:05:00,4015.0,4015.0,4015.0,4015.0,1.0,68.0,-60.0,0
45,41.0,2020-03-27 09:11:00,4006.0,4006.0,3958.0,3958.0,4.0,68.0,24.0,0
50,46.0,2020-03-27 09:26:00,3982.0,3982.0,3980.0,3980.0,2.0,71.0,9.0,0
51,47.0,2020-03-27 09:36:00,3989.0,3989.0,3989.0,3989.0,1.0,72.0,-2.0,0
53,49.0,2020-03-27 10:31:00,3930.0,3930.0,3930.0,3930.0,4.0,72.0,-1.0,0
54,50.0,2020-03-27 10:32:00,3930.0,3930.0,3924.0,3924.0,7.0,76.0,6.0,0
70,66.0,2020-03-30 09:01:00,4050.0,4050.0,4050.0,4050.0,5.0,79.0,-105.0,0
72,68.0,2020-03-30 09:04:00,3924.0,3972.0,3924.0,3972.0,2.0,78.0,-3.0,0
76,72.0,2020-03-30 09:10:00,3968.0,3968.0,3945.0,3945.0,1.0,76.0,34.0,0
81,77.0,2020-03-30 09:22:00,3979.0,3979.0,3979.0,3979.0,1.0,76.0,-8.0,0
90,86.0,2020-03-30 10:38:00,3939.0,3939.0,3939.0,3939.0,1.0,70.0,9.0,0
106,102.0,2020-03-31 09:10:00,3917.0,3917.0,3890.0,3890.0,2.0,61.0,1.0,0
112,108.0,2020-03-31 11:15:00,3906.0,3906.0,3906.0,3906.0,1.0,60.0,-42.0,0
134,130.0,2020-04-01 13:48:00,3812.0,3815.0,3812.0,3815.0,5.0,63.0,2.0,0
148,144.0,2020-04-02 09:31:00,3752.0,3752.0,3752.0,3752.0,2.0,52.0,33.0,0
155,151.0,2020-04-02 11:11:00,3747.0,3748.0,3747.0,3748.0,1.0,51.0,30.0,0
157,153.0,2020-04-02 13:31:00,3778.0,3778.0,3778.0,3778.0,1.0,51.0,37.0,0
164,160.0,2020-04-02 14:16:00,3759.0,3759.0,3751.0,3751.0,3.0,52.0,24.0,0
175,171.0,2020-04-03 10:05:00,3823.0,3823.0,3823.0,3823.0,1.0,48.0,46.0,0
190,186.0,2020-04-07 09:07:00,3843.0,3843.0,3843.0,3843.0,2.0,46.0,-11.0,0
193,189.0,2020-04-07 10:42:00,3832.0,3832.0,3832.0,3832.0,1.0,46.0,-12.0,0
204,200.0,2020-04-07 14:09:00,3818.0,3818.0,3810.0,3810.0,1.0,46.0,2.0,0
228,224.0,2020-04-09 09:36:00,3849.0,3850.0,3849.0,3850.0,2.0,39.0,-131.0,0
232,228.0,2020-04-09 13:40:00,3886.0,3886.0,3886.0,3886.0,1.0,42.0,-21.0,0
254,250.0,2020-04-10 09:29:00,3941.0,3941.0,3941.0,3941.0,1.0,45.0,23.0,0
255,251.0,2020-04-10 09:31:00,3941.0,3969.0,3941.0,3969.0,2.0,47.0,-45.0,0
257,253.0,2020-04-10 09:35:00,3922.0,3966.0,3922.0,3966.0,2.0,46.0,27.0,0
259,255.0,2020-04-10 09:41:00,3988.0,3988.0,3924.0,3924.0,3.0,48.0,56.0,0
273,269.0,2020-04-10 10:40:00,3999.0,3999.0,3999.0,3999.0,1.0,58.0,-4.0,0
282,278.0,2020-04-10 13:50:00,3970.0,3977.0,3970.0,3977.0,1.0,59.0,-16.0,0
287,283.0,2020-04-10 14:49:00,3967.0,3967.0,3967.0,3967.0,1.0,57.0,27.0,0
299,295.0,2020-04-13 09:47:00,3998.0,3998.0,3998.0,3998.0,1.0,49.0,1.0,0
309,305.0,2020-04-13 13:43:00,4045.0,4045.0,4043.0,4043.0,1.0,54.0,-12.0,0
319,315.0,2020-04-14 09:01:00,3980.0,4089.0,3980.0,3982.0,4.0,51.0,173.0,0
320,316.0,2020-04-14 09:02:00,3982.0,4051.0,3982.0,4050.0,5.0,52.0,50.0,0
321,317.0,2020-04-14 09:03:00,4050.0,4077.0,4050.0,4077.0,1.0,53.0,23.0,0
331,327.0,2020-04-14 09:50:00,4099.0,4100.0,4099.0,4100.0,1.0,63.0,-131.0,0
342,338.0,2020-04-14 11:11:00,4083.0,4083.0,4082.0,4082.0,1.0,64.0,-49.0,0
344,340.0,2020-04-14 11:18:00,4072.0,4072.0,4049.0,4049.0,2.0,61.0,-9.0,0
356,352.0,2020-04-15 09:04:00,4056.0,4056.0,4056.0,4056.0,1.0,58.0,-32.0,0
364,360.0,2020-04-15 10:58:00,4029.0,4029.0,4029.0,4029.0,1.0,57.0,20.0,0
366,362.0,2020-04-15 11:05:00,4049.0,4049.0,4049.0,4049.0,1.0,57.0,-3.0,0
379,375.0,2020-04-17 09:06:00,4089.0,4089.0,4089.0,4089.0,1.0,56.0,-24.0,0
386,382.0,2020-04-17 10:54:00,4096.0,4096.0,4072.0,4072.0,1.0,57.0,27.0,0
414,410.0,2020-04-22 09:20:00,4014.0,4014.0,3987.0,3987.0,1.0,63.0,-211.0,0
415,411.0,2020-04-22 09:41:00,4027.0,4027.0,4027.0,4027.0,1.0,63.0,72.0,0
416,412.0,2020-04-22 09:42:00,4027.0,4098.0,4027.0,4097.0,10.0,70.0,24.0,0
417,413.0,2020-04-22 09:43:00,4097.0,4097.0,4076.0,4076.0,3.0,70.0,22.0,0
423,419.0,2020-04-22 09:55:00,4098.0,4098.0,4074.0,4074.0,5.0,76.0,-34.0,0
424,420.0,2020-04-22 09:57:00,4074.0,4074.0,4060.0,4060.0,4.0,74.0,-38.0,0
441,437.0,2020-04-22 13:38:00,4022.0,4022.0,4021.0,4021.0,5.0,57.0,0.0,0
450,446.0,2020-04-23 09:03:00,3987.0,4000.0,3987.0,4000.0,1.0,43.0,25.0,0
453,449.0,2020-04-23 09:07:00,4022.0,4022.0,4022.0,4022.0,1.0,41.0,8.0,0
456,452.0,2020-04-23 09:18:00,4030.0,4032.0,4030.0,4032.0,2.0,41.0,-21.0,0
459,455.0,2020-04-23 09:28:00,4011.0,4011.0,4011.0,4011.0,1.0,42.0,70.0,0
460,456.0,2020-04-23 09:34:00,4011.0,4011.0,4011.0,4011.0,1.0,42.0,70.0,0
461,457.0,2020-04-23 09:38:00,4081.0,4081.0,4081.0,4081.0,1.0,42.0,-48.0,0
500,496.0,2020-04-30 14:14:00,4036.0,4378.0,4036.0,4378.0,1.0,30.0,-4.0,0
504,500.0,2020-04-30 14:27:00,3983.0,4370.0,3983.0,4370.0,2.0,30.0,-378.0,-1
505,501.0,2020-04-30 14:37:00,4370.0,4370.0,3992.0,3992.0,1.0,30.0,348.0,1
520,7.0,2020-04-20 14:31:00,3860.0,3860.0,3860.0,3860.0,1.0,1.0,129.0,0
524,11.0,2020-05-28 09:33:00,3749.0,3749.0,3749.0,3749.0,1.0,1.0,251.0,1
532,5.0,2020-06-19 14:37:00,3976.0,4089.0,3976.0,4089.0,10.0,9.0,-148.0,0
580,10.0,2020-04-08 14:32:00,3793.0,3793.0,3746.0,3746.0,2.0,22.0,5.0,0
590,20.0,2020-04-13 10:54:00,3894.0,3894.0,3894.0,3894.0,1.0,14.0,130.0,0
606,36.0,2020-04-27 14:33:00,3838.0,3838.0,3838.0,3838.0,1.0,14.0,-60.0,0
612,42.0,2020-05-07 13:57:00,3835.0,3835.0,3835.0,3835.0,1.0,12.0,15.0,0
618,48.0,2020-05-12 09:40:00,3832.0,3832.0,3832.0,3832.0,1.0,11.0,0.0,0
628,58.0,2020-06-03 13:35:00,3998.0,3998.0,3989.0,3989.0,2.0,6.0,-10.0,0
725,155.0,2020-08-31 10:55:00,4086.0,4086.0,4071.0,4071.0,2.0,19.0,-111.0,0
729,159.0,2020-08-31 14:08:00,4159.0,4160.0,4159.0,4160.0,3.0,17.0,-185.0,0
740,170.0,2020-09-02 14:50:00,4108.0,4108.0,4066.0,4066.0,5.0,8.0,19.0,0
754,3.0,2020-07-02 09:20:00,3920.0,3920.0,3920.0,3920.0,1.0,1.0,-5.0,0
755,4.0,2020-07-02 09:23:00,3920.0,3920.0,3920.0,3920.0,1.0,1.0,-51.0,0
762,11.0,2020-07-02 14:22:00,3911.0,3911.0,3911.0,3911.0,5.0,0.0,68.0,0
821,18.0,2020-07-09 09:05:00,3713.0,3713.0,3713.0,3713.0,1.0,3.0,233.0,1
822,19.0,2020-07-09 09:14:00,3946.0,3946.0,3946.0,3946.0,1.0,3.0,26.0,0
829,26.0,2020-07-17 09:38:00,3955.0,3955.0,3900.0,3900.0,4.0,2.0,-11.0,0
844,41.0,2020-09-07 09:15:00,3899.0,3899.0,3899.0,3899.0,1.0,11.0,72.0,0
853,50.0,2020-09-16 14:06:00,3979.0,3979.0,3979.0,3979.0,1.0,6.0,-59.0,0
858,55.0,2020-09-29 10:35:00,3898.0,3898.0,3898.0,3898.0,1.0,1.0,-40.0,0
868,65.0,2020-09-29 14:03:00,3765.0,3765.0,3765.0,3765.0,1.0,32.0,67.0,0
916,113.0,2020-11-12 10:46:00,3862.0,3917.0,3862.0,3917.0,4.0,1.0,-55.0,0
929,126.0,2020-11-16 13:31:00,4087.0,4087.0,4087.0,4087.0,1.0,23.0,-87.0,0
955,152.0,2020-11-20 13:57:00,4253.0,4298.0,4253.0,4298.0,1.0,20.0,-27.0,0
957,154.0,2020-11-20 14:05:00,4263.0,4316.0,4263.0,4316.0,2.0,20.0,-22.0,0
